department,month,month_no,plan,fact,forecast
Engineering,Jan,1,344781.5,339390.97,
Engineering,Feb,2,343785.02,338508.59,
Engineering,Mar,3,339466.94,334197.65,
Engineering,Apr,4,333820.23,329204.23,
Engineering,May,5,327509.2,323076.76,
Engineering,Jun,6,321530.33,316766.49,
Engineering,Jul,7,319537.38,314541.87,
Engineering,Aug,8,320201.7,315820.53,
Engineering,Sep,9,327177.05,,330628.59
Engineering,Oct,10,334152.39,,337503.42
Engineering,Nov,11,336809.67,,340122.41
Engineering,Dec,12,337141.83,,340449.78
Sales,Jan,1,242722.7,265002.41,
Sales,Feb,2,242021.19,264156.19,
Sales,Mar,3,238981.31,260934.23,
Sales,Apr,4,235006.08,256556.14,
Sales,May,5,230563.18,251854.83,
Sales,Jun,6,226354.11,247496.37,
Sales,Jul,7,224951.09,245883.64,
Sales,Aug,8,225418.77,246561.5,
Sales,Sep,9,230329.34,,262446.38
Sales,Oct,10,235239.92,,267811.37
Sales,Nov,11,237110.61,,269855.16
Sales,Dec,12,237344.45,,270110.64
Operations,Jan,1,228268.11,231375.28,
Operations,Feb,2,227608.38,230675.34,
Operations,Mar,3,224749.53,227510.09,
Operations,Apr,4,221011.03,224034.68,
Operations,May,5,216832.72,219772.95,
Operations,Jun,6,212874.31,216005.13,
Operations,Jul,7,211554.84,214050.87,
Operations,Aug,8,211994.66,214730.95,
Operations,Sep,9,216612.8,,221266.48
Operations,Oct,10,221230.95,,225945.93
Operations,Nov,11,222990.24,,227728.58
Operations,Dec,12,223210.15,,227951.41
Manufacturing,Jan,1,218080.32,223330.68,
Manufacturing,Feb,2,217450.03,222415.48,
Manufacturing,Mar,3,214718.77,220091.97,
Manufacturing,Apr,4,211147.13,215942.53,
Manufacturing,May,5,207155.29,212011.11,
Manufacturing,Jun,6,203373.55,208166.37,
Manufacturing,Jul,7,202112.97,206774.17,
Manufacturing,Aug,8,202533.16,207573.4,
Manufacturing,Sep,9,206945.19,,219050.36
Manufacturing,Oct,10,211357.22,,223566.33
Manufacturing,Nov,11,213038.0,,225286.7
Manufacturing,Dec,12,213248.09,,225501.74
Marketing,Jan,1,201149.39,206028.79,
Marketing,Feb,2,200568.03,205554.38,
Marketing,Mar,3,198048.82,202930.76,
Marketing,Apr,4,194754.46,199716.9,
Marketing,May,5,191072.54,195939.0,
Marketing,Jun,6,187584.4,192322.3,
Marketing,Jul,7,186421.68,191051.81,
Marketing,Aug,8,186809.26,191091.16,
Marketing,Sep,9,190878.75,,195522.81
Marketing,Oct,10,194948.25,,199691.32
Marketing,Nov,11,196498.53,,201279.32
Marketing,Dec,12,196692.32,,201477.83
Customer Support,Jan,1,122126.73,124851.35,
Customer Support,Feb,2,121773.77,124473.78,
Customer Support,Mar,3,120244.24,122904.25,
Customer Support,Apr,4,118244.09,120772.84,
Customer Support,May,5,116008.63,118510.21,
Customer Support,Jun,6,113890.83,116229.38,
Customer Support,Jul,7,113184.89,115710.27,
Customer Support,Aug,8,113420.2,115751.55,
Customer Support,Sep,9,115890.98,,121867.98
Customer Support,Oct,10,118361.75,,124391.47
Customer Support,Nov,11,119303.0,,125352.81
Customer Support,Dec,12,119420.65,,125472.97
Legal,Jan,1,74104.68,76157.77,
Legal,Feb,2,73890.51,75892.11,
Legal,Mar,3,72962.41,74886.46,
Legal,Apr,4,71748.75,73728.78,
Legal,May,5,70392.31,72360.09,
Legal,Jun,6,69107.26,70904.58,
Legal,Jul,7,68678.91,70444.04,
Legal,Aug,8,68821.69,70572.2,
Legal,Sep,9,70320.92,,73724.82
Legal,Oct,10,71820.15,,75263.82
Legal,Nov,11,72391.28,,75850.1
Legal,Dec,12,72462.67,,75923.38
