id,category,gender,base_salary,variable_pay,tenure_years,grade,fte,months_worked
E001,Engineering,M,56987.18,8168.89,5.6,2,1,12
E002,Engineering,M,65996.64,8827.27,8.9,3,1,12
E003,Engineering,M,79747.78,11262.55,11.8,5,1,12
E004,Engineering,M,73284.69,8788.71,7.4,4,1,12
E005,Engineering,F,69538.46,6654.16,6.6,4,1,12
E006,Engineering,M,60248.19,6267.47,5.5,3,1,12
E007,Engineering,M,47983.14,5665.2,4.8,1,1,12
E008,Engineering,M,79273.59,7323.24,6.6,5,1,12
E009,Engineering,M,56597.91,6073.48,5.9,2,1,12
E010,Engineering,M,75607.45,9066.91,9.7,4,1,12
E011,Engineering,M,46253.91,6492.34,2.8,1,1,12
E012,Engineering,M,60920.28,7481.67,7.7,3,1,12
E013,Engineering,F,32897.08,3732.48,7.6,2,0.6,12
E014,Engineering,M,82166.75,8496.62,7.8,5,1,12
E015,Engineering,F,63456.32,8252.3,9.9,4,1,12
E016,Engineering,F,57317.89,5324.57,7.2,3,1,12
E017,Engineering,F,43450.41,5212.51,0.6,1,1,12
E018,Engineering,F,68966.81,9921.96,10.2,4,1,12
E019,Engineering,F,71069.19,8210.24,11.6,5,1,12
E020,Engineering,M,76201.2,8338.11,9.6,4,1,12
E021,Engineering,M,52386.54,5507.69,5.9,1,1,12
E022,Engineering,M,46464.67,4809.4,0.7,1,1,12
E023,Engineering,M,55509.49,6857.18,6,2,1,12
E024,Engineering,M,56305.49,8026.43,4.8,2,1,12
E025,Engineering,M,54180.69,7203.46,4.8,2,1,12
E026,Engineering,F,60172,8139.69,7,3,1,12
E027,Engineering,M,50371.31,7281.02,4.8,1,1,12
E028,Engineering,F,50920.11,4824.66,4.2,2,1,12
E029,Engineering,M,84421.92,11500.74,8.3,5,1,12
E030,Engineering,M,70060.03,9220.84,8.4,4,1,12
E031,Engineering,M,68396.75,9665.43,7.4,4,1,12
E032,Engineering,M,73003.26,9035.73,10.1,4,1,12
E033,Engineering,M,59464.14,8303.74,4.6,2,1,12
E034,Engineering,M,63717.92,8487.9,7.7,2,1,12
E035,Engineering,M,48899.75,4804.97,2.2,2,1,12
E036,Engineering,M,69584.51,8678.23,9.9,4,1,12
E037,Engineering,M,86073.94,9787.46,11,5,1,12
E038,Engineering,F,43239.91,5820.91,4.9,1,1,12
E039,Engineering,F,53756.62,7366.79,3.6,2,1,12
E040,Engineering,M,100078.79,11500.09,10.2,6,1,12
E041,Engineering,M,64977.74,7815.94,4.8,3,1,12
E042,Engineering,M,87312.07,8513.42,11,5,1,12
E043,Engineering,F,76375.75,7423.21,7.2,5,1,12
E044,Engineering,M,79548.88,8743.32,7.7,4,1,12
E045,Operations,F,50156.33,3653.95,5.1,3,1,12
E046,Operations,M,57638.34,3952.18,5.5,4,1,12
E047,Operations,M,31314.55,2259.82,5.6,3,0.6,12
E048,Operations,M,60911.89,3773.49,9.7,4,1,12
E049,Operations,M,71085.13,6066,9.9,5,1,12
E050,Operations,M,45606.86,2794.31,4,2,1,12
E051,Operations,M,44771.96,3003.78,6.6,2,1,12
E052,Operations,M,44584.29,2919.49,5.3,3,1,10
E053,Operations,M,38320.37,2993.93,4.5,1,1,12
E054,Operations,F,41946.6,3482.59,2.3,2,1,12
E055,Operations,F,53206,3900.84,5.9,3,1,12
E056,Operations,F,40728.37,3709.51,3,1,1,12
E057,Operations,M,48013.42,3831.15,6.4,2,1,12
E058,Operations,M,48256.76,4037.33,9.9,4,0.8,12
E059,Operations,F,58379.25,3619.09,9.1,4,1,12
E060,Operations,F,41313.31,3464.77,1.6,1,1,12
E061,Operations,F,37979.07,3585.38,4.2,1,1,12
E062,Operations,F,48199.92,4498.62,7.7,2,1,12
E063,Operations,F,37058.73,3702.71,2.1,1,1,12
E064,Operations,M,38696.52,3083.11,1.9,1,1,12
E065,Operations,F,39425.93,2567.3,4.1,1,1,12
E066,Operations,F,43435.62,2706.95,1.7,2,1,12
E067,Operations,M,73721.76,7161.98,6.7,5,1,12
E068,Operations,F,72303.96,6189.42,8.1,6,1,12
E069,Operations,F,38097.77,3400.19,3.3,1,1,12
E070,Operations,M,52223.48,5217.01,5.1,3,1,12
E071,Operations,F,46899.73,3721.12,3.9,2,1,12
E072,Operations,F,46883.03,3888.39,6.6,2,1,12
E073,Operations,M,60207.88,4514.99,8.9,4,1,12
E074,Operations,F,40428.87,3449.95,5.5,2,1,12
E075,Operations,F,50674.35,3254.18,3.3,3,1,12
E076,Operations,M,42584.4,4210.86,5.8,1,1,12
E077,Operations,F,38133.13,2525.94,2.9,1,1,12
E078,Operations,M,56319.53,3550.22,7.5,4,1,12
E079,Operations,M,47208.96,4571.92,5.6,2,1,12
E080,Operations,M,66916.9,4636.69,10,5,1,12
E081,Operations,M,49061.01,4620.08,6.4,2,1,12
E082,Operations,F,78077.88,5205.64,8.3,6,1,12
E083,Legal,F,65064.35,10014.49,6.1,3,1,12
E084,Legal,F,67252.73,11928.27,7.1,4,1,12
E085,Legal,M,101390.98,13660.97,8.1,6,1,12
E086,Legal,M,84225.02,13877.05,5.9,5,1,12
E087,Legal,F,69875.62,11609.67,5.1,4,1,12
E088,Legal,M,83187.2,11986.42,8.8,4,1,12
E089,Legal,M,63590.21,9018.03,1.3,3,1,12
E090,Legal,M,73423.13,10315.32,2.7,4,1,12
E091,Marketing,M,70084.95,8555.1,8.3,5,1,12
E092,Marketing,F,69752.62,5796.07,10.7,4,1,12
E093,Marketing,M,68978.22,7355.07,8.9,4,1,12
E094,Marketing,F,72180,7488.53,9.9,4,1,12
E095,Marketing,M,53309.32,6639.89,4.8,2,1,12
E096,Marketing,M,82563.04,6430.95,13,5,1,12
E097,Marketing,M,67851.29,7806.7,8.2,5,1,12
E098,Marketing,F,82737.47,7635.73,8.4,5,1,12
E099,Marketing,F,60805.54,7459.16,8.1,3,1,12
E100,Marketing,F,83818.69,8321.34,12.9,5,1,12
E101,Marketing,M,68599.05,8260.33,8.2,5,1,12
E102,Marketing,M,64077.78,6280.84,7,3,1,12
E103,Marketing,F,70549.42,6668.81,5.9,4,1,12
E104,Marketing,M,50208.93,4159.78,5.5,2,1,12
E105,Marketing,F,76994.12,7646.85,8.9,5,1,12
